연도,시도,시군구,사고[건],사망[명],부상[명],중상자[명],경상자[명],부상신고자[명]
2020,경남,사천시,117,4,116,60,46,10
2020,경남,남해군,28,3,25,15,6,4
2020,경남,하동군,19,2,17,10,7,0
2020,경남,산청군,19,4,15,8,6,1
2020,경남,함양군,29,2,27,17,6,4
2020,경남,거창군,29,3,26,19,7,0
2020,경남,합천군,31,2,29,15,11,3
2020,경남,창원시(통합),664,25,663,307,328,28
2020,제주,제주시,546,17,556,183,343,30
2020,제주,서귀포시,175,13,171,86,77,8
2021,서울,종로구,179,4,179,59,113,7
2021,서울,중구,171,2,173,71,92,10
2021,서울,용산구,176,2,179,55,115,9
2021,서울,성동구,243,5,244,71,162,11
2021,서울,동대문구,311,11,302,101,193,8
2021,서울,성북구,297,4,299,100,185,14
2021,서울,도봉구,166,1,173,78,85,10
2021,서울,은평구,253,2,257,115,126,16
2021,서울,서대문구,217,3,228,80,133,15
2021,서울,마포구,230,6,232,78,122,32
2021,서울,강서구,339,8,345,137,199,9
2021,서울,구로구,278,2,290,107,177,6
2021,서울,영등포구,336,9,338,121,196,21
2021,서울,동작구,289,8,292,73,189,30
2021,서울,관악구,317,5,327,103,215,9
2021,서울,강남구,666,6,681,157,483,41
2021,서울,강동구,244,7,241,89,135,17
2021,서울,송파구,477,3,489,161,296,32
2021,서울,서초구,383,7,386,106,239,41
2021,서울,양천구,290,7,296,108,170,18
2021,서울,중랑구,331,5,334,128,189,17
2021,서울,노원구,281,2,288,105,166,17
2021,서울,광진구,212,2,216,65,138,13
2021,서울,강북구,262,5,263,84,168,11
2021,서울,금천구,179,8,184,67,111,6
2021,부산,중구,84,3,83,37,45,1
2021,부산,서구,109,1,112,42,61,9
2021,부산,동구,101,3,100,44,50,6
2021,부산,영도구,85,2,86,51,33,2
2021,부산,진구,413,5,423,158,254,11
2021,부산,동래구,213,2,216,77,132,7
2021,부산,남구,160,2,159,76,76,7
2021,부산,북구,131,1,138,58,72,8
2021,부산,해운대구,217,3,220,85,122,13
2021,부산,사하구,204,4,203,103,93,7
2021,부산,금정구,230,2,237,89,130,18
2021,부산,강서구,58,4,56,29,26,1
2021,부산,연제구,182,1,190,78,105,7
2021,부산,수영구,170,4,172,63,104,5
2021,부산,사상구,185,7,183,79,97,7
2021,부산,기장군,77,1,77,39,38,0
2021,대구,중구,155,2,167,40,109,18
2021,대구,동구,262,4,264,118,132,14
2021,대구,서구,190,3,192,65,105,22
2021,대구,남구,158,3,161,47,93,21
2021,대구,북구,331,6,336,132,168,36
2021,대구,수성구,370,1,381,121,237,23
2021,대구,달서구,557,8,563,187,352,24
2021,대구,달성군,115,7,111,56,48,7
2021,대구,군위군,-,-,-,-,-,-
2021,인천,중구,58,6,54,19,33,2
2021,인천,동구,28,2,27,13,14,0
2021,인천,미추홀구,259,4,269,90,144,35
2021,인천,부평구,330,4,337,89,178,70
2021,인천,남동구,231,5,230,63,157,10
2021,인천,서구,286,10,290,108,176,6
2021,인천,연수구,92,3,99,42,53,4
2021,인천,계양구,155,2,158,59,91,8
2021,인천,강화군,30,3,28,15,12,1
2021,인천,옹진군,3,0,3,1,1,1
2021,광주,동구,127,4,128,37,79,12
2021,광주,서구,218,3,220,66,149,5
2021,광주,북구,379,6,389,108,268,13
2021,광주,광산구,290,2,301,102,184,15
2021,광주,남구,137,6,138,39,95,4
2021,대전,동구,170,6,168,68,98,2
2021,대전,중구,202,5,205,67,132,6
2021,대전,서구,415,8,425,135,284,6
2021,대전,유성구,209,5,213,83,125,5
2021,대전,대덕구,143,4,146,55,88,3
2021,울산,중구,150,6,147,74,73,0
2021,울산,남구,262,9,266,108,151,7
2021,울산,동구,121,1,132,36,96,0
2021,울산,북구,109,1,113,48,62,3
2021,울산,울주군,139,4,135,70,52,13
2021,세종,세종시,110,3,110,47,59,4
2021,경기,수원시,812,9,825,247,545,33
2021,경기,성남시,630,9,637,197,380,60
2021,경기,의정부시,359,10,365,113,225,27
2021,경기,안양시,208,5,210,76,129,5
2021,경기,부천시,737,11,742,235,474,33
2021,경기,안산시,521,9,530,195,307,28
2021,경기,평택시,466,8,471,147,286,38
2021,경기,광명시,184,3,185,66,104,15
2021,경기,구리시,116,5,115,42,69,4
2021,경기,양주시,108,2,108,38,62,8
2021,경기,여주시,75,4,73,34,37,2
2021,경기,화성시,373,11,372,147,207,18
2021,경기,시흥시,310,13,306,98,190,18
2021,경기,파주시,290,8,293,121,154,18
2021,경기,고양시,599,14,607,239,320,48
2021,경기,광주시,327,9,355,122,216,17
2021,경기,연천군,35,2,36,20,15,1
2021,경기,포천시,108,9,104,44,56,4
2021,경기,가평군,50,4,49,19,27,3
2021,경기,양평군,81,5,78,35,35,8
2021,경기,이천시,158,3,161,55,96,10
2021,경기,용인시,482,9,481,169,274,38
2021,경기,안성시,143,12,138,53,77,8
2021,경기,김포시,225,5,233,89,136,8
2021,경기,동두천시,68,0,70,24,43,3
2021,경기,과천시,18,0,21,7,14,0
2021,경기,군포시,126,3,128,50,72,6
2021,경기,남양주시,353,4,369,125,229,15
2021,경기,오산시,172,3,174,59,99,16
2021,경기,의왕시,58,2,65,33,29,3
2021,경기,하남시,163,3,164,59,89,16
2021,강원,춘천시,225,10,224,81,128,15
2021,강원,원주시,270,8,275,105,161,9
2021,강원,동해시,65,0,69,31,38,0
2021,강원,강릉시,124,7,123,56,66,1
2021,강원,속초시,79,0,81,35,46,0
2021,강원,태백시,37,3,35,16,16,3
2021,강원,삼척시,49,3,46,19,27,0
2021,강원,홍천군,53,5,49,21,28,0
2021,강원,횡성군,26,2,25,15,10,0
2021,강원,영월군,20,0,20,10,8,2
2021,강원,평창군,13,0,13,6,6,1
2021,강원,정선군,25,4,26,7,18,1
2021,강원,철원군,9,0,9,4,5,0
2021,강원,화천군,11,0,12,3,9,0
2021,강원,양구군,16,4,16,8,6,2
2021,강원,인제군,7,1,6,3,3,0
2021,강원,고성군,15,1,14,11,3,0
2021,강원,양양군,20,0,20,12,8,0
2021,충북,청주시,556,11,571,207,352,12
2021,충북,충주시,149,6,148,60,86,2
2021,충북,제천시,99,7,96,51,43,2
2021,충북,보은군,21,1,26,10,16,0
2021,충북,옥천군,36,2,35,21,14,0
2021,충북,영동군,29,0,30,18,10,2
2021,충북,진천군,51,4,49,24,24,1
2021,충북,괴산군,13,0,13,8,4,1
2021,충북,음성군,34,3,32,19,12,1
2021,충북,단양군,15,0,15,9,6,0
2021,충북,증평군,28,1,27,10,15,2
2021,충남,천안시,460,11,480,158,292,30
2021,충남,아산시,185,8,189,88,94,7
2021,충남,보령시,108,6,108,57,50,1
2021,충남,공주시,68,2,68,37,29,2
2021,충남,서산시,131,9,130,76,52,2
2021,충남,금산군,22,1,22,11,11,0
2021,충남,태안군,52,2,50,25,24,1
2021,충남,논산시,67,7,64,38,26,0
2021,충남,부여군,44,6,39,27,12,0
2021,충남,서천군,50,3,48,19,29,0
2021,충남,청양군,21,2,21,15,6,0
2021,충남,홍성군,43,3,41,31,10,0
2021,충남,예산군,49,4,46,24,21,1
2021,충남,당진시,123,9,122,62,58,2
2021,충남,계룡시,16,1,15,6,9,0
2021,전북,전주시,437,17,444,187,255,2
2021,전북,군산시,212,10,211,77,127,7
2021,전북,정읍시,74,4,75,43,32,0
2021,전북,남원시,47,4,43,23,19,1
2021,전북,김제시,50,3,49,21,28,0
2021,전북,완주군,36,3,35,20,15,0
2021,전북,진안군,7,1,7,5,2,0
2021,전북,무주군,11,0,11,9,2,0
2021,전북,장수군,9,1,8,6,2,0
2021,전북,임실군,12,3,9,8,1,0
2021,전북,순창군,10,1,10,4,6,0
2021,전북,고창군,26,3,24,7,17,0
2021,전북,부안군,22,2,20,9,11,0
2021,전북,익산시,197,10,193,77,116,0
2021,전남,목포시,237,10,236,93,141,2
2021,전남,여수시,248,12,247,102,140,5
2021,전남,순천시,183,5,186,64,117,5
2021,전남,나주시,70,6,64,19,43,2
2021,전남,광양시,90,6,86,36,46,4
2021,전남,담양군,31,1,30,13,16,1
2021,전남,곡성군,21,0,22,17,5,0
2021,전남,구례군,20,0,20,5,15,0
2021,전남,고흥군,45,4,41,24,15,2
2021,전남,보성군,23,5,20,9,10,1
2021,전남,화순군,44,2,42,19,22,1
2021,전남,장흥군,39,4,39,17,22,0
2021,전남,강진군,35,2,33,16,15,2
2021,전남,해남군,39,1,41,23,16,2
2021,전남,영암군,29,4,26,10,15,1
2021,전남,무안군,45,8,40,17,23,0
2021,전남,함평군,19,1,20,11,9,0
2021,전남,영광군,40,2,38,20,16,2
2021,전남,장성군,19,2,17,13,4,0
2021,전남,완도군,34,2,33,15,17,1
2021,전남,진도군,17,2,15,8,6,1
2021,전남,신안군,7,1,6,4,2,0
2021,경북,포항시,372,8,379,171,199,9
2021,경북,경주시,200,11,200,91,107,2
2021,경북,김천시,96,3,95,49,44,2
2021,경북,안동시,126,5,127,52,73,2
2021,경북,구미시,249,9,255,115,132,8
2021,경북,영주시,87,6,85,57,28,0
2021,경북,영천시,90,1,90,39,48,3
2021,경북,문경시,58,2,56,24,29,3
2021,경북,상주시,60,7,56,31,25,0
2021,경북,군위군,10,1,9,4,5,0
2021,경북,의성군,24,5,20,8,12,0
2021,경북,청송군,19,2,17,10,7,0
2021,경북,영양군,11,1,11,5,6,0
2021,경북,영덕군,38,3,35,14,19,2
2021,경북,청도군,20,1,20,12,8,0
2021,경북,고령군,28,3,26,11,14,1
2021,경북,성주군,32,3,30,10,18,2
2021,경북,칠곡군,94,6,98,40,53,5
2021,경북,예천군,30,1,35,23,11,1
2021,경북,봉화군,10,3,7,4,3,0
2021,경북,울진군,21,3,18,8,8,2
2021,경북,울릉군,5,0,5,4,1,0
2021,경북,경산시,211,11,207,76,127,4
2021,경남,진주시,196,12,192,103,80,9
2021,경남,통영시,125,3,125,59,58,8
2021,경남,김해시,342,11,347,189,153,5
2021,경남,밀양시,86,4,87,42,42,3
2021,경남,거제시,166,5,172,75,91,6
2021,경남,의령군,23,2,24,7,15,2
2021,경남,함안군,44,3,47,28,19,0
2021,경남,창녕군,38,0,38,23,14,1
2021,경남,양산시,186,7,191,99,76,16
2021,경남,고성군,45,3,43,23,19,1
2021,경남,사천시,93,7,86,42,42,2
2021,경남,남해군,41,2,40,27,9,4
2021,경남,하동군,23,3,25,13,11,1
2021,경남,산청군,22,2,20,9,11,0
2021,경남,함양군,27,2,25,16,6,3
2021,경남,거창군,43,1,43,24,19,0
2021,경남,합천군,27,1,26,18,7,1
2021,경남,창원시(통합),601,27,590,269,295,26
2021,제주,제주시,542,13,551,195,329,27
2021,제주,서귀포시,193,7,197,96,86,15
2022,서울,종로구,275,1,289,74,195,20
2022,서울,중구,220,2,228,81,126,21
2022,서울,용산구,222,7,232,77,147,8
2022,서울,성동구,210,3,213,57,145,11
2022,서울,동대문구,411,2,421,144,252,25
2022,서울,성북구,304,5,312,101,198,13
2022,서울,도봉구,160,2,162,71,81,10
2022,서울,은평구,273,3,277,95,164,18
2022,서울,서대문구,254,3,255,72,159,24
2022,서울,마포구,241,7,249,70,156,23
2022,서울,강서구,386,9,398,121,247,30
2022,서울,구로구,291,3,295,95,177,23
2022,서울,영등포구,386,6,390,122,240,28
