시도,시군구,2020,,,,,,2021,,,,,,2022,,,,,,2023,,,,,,2024,,,,,
,,사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명]),사고[건],사망[명],부상[명],(중상자[명]),(경상자[명]),(부상신고자[명])
,정읍시,79,5,76,47,29,0,74,4,75,43,32,0,83,4,82,41,41,0,80,3,81,41,36,4,80,7,75,35,38,2
,남원시,59,2,59,35,24,0,47,4,43,23,19,1,46,3,44,21,23,0,65,8,60,34,25,1,60,2,61,40,19,2
,김제시,69,8,66,29,36,1,50,3,49,21,28,0,60,2,62,32,29,1,58,4,59,33,26,0,69,3,70,36,33,1
,완주군,33,5,31,18,13,0,36,3,35,20,15,0,34,5,30,18,11,1,40,9,35,17,17,1,42,5,40,23,16,1
,진안군,10,1,9,7,1,1,7,1,7,5,2,0,17,2,17,10,7,0,13,3,11,6,5,0,11,1,10,7,2,1
,무주군,16,3,13,9,4,0,11,0,11,9,2,0,16,2,14,8,6,0,9,1,9,5,4,0,14,1,13,8,5,0
,장수군,12,0,13,9,4,0,9,1,8,6,2,0,11,1,10,4,6,0,16,3,13,8,5,0,10,0,11,8,3,0
,임실군,12,2,10,5,5,0,12,3,9,8,1,0,14,1,13,9,3,1,10,1,9,6,3,0,14,2,12,4,6,2
,순창군,13,2,12,7,4,1,10,1,10,4,6,0,18,4,15,5,9,1,14,1,13,12,1,0,12,1,11,7,4,0
,고창군,24,4,21,8,13,0,26,3,24,7,17,0,25,2,23,12,11,0,29,6,23,13,10,0,31,4,28,14,14,0
,부안군,30,2,28,14,14,0,22,2,20,9,11,0,33,4,30,18,12,0,35,1,34,17,17,0,35,2,33,21,12,0
,익산시,216,15,208,75,133,0,197,10,193,77,116,0,174,11,173,76,93,4,183,5,184,79,102,3,179,9,182,80,96,6
전남,목포시,277,9,273,100,167,6,237,10,236,93,141,2,251,9,251,92,150,9,195,4,202,75,125,2,205,7,208,69,134,5
,여수시,281,14,281,110,164,7,248,12,247,102,140,5,258,3,261,100,153,8,264,7,278,104,162,12,223,3,230,99,115,16
,순천시,207,10,207,94,108,5,183,5,186,64,117,5,168,8,165,71,92,2,205,6,212,82,128,2,191,13,188,93,87,8
,나주시,69,6,65,22,40,3,70,6,64,19,43,2,66,3,65,29,31,5,59,4,60,22,38,0,67,5,65,21,44,0
,광양시,97,5,96,28,60,8,90,6,86,36,46,4,70,1,71,27,39,5,92,4,93,43,47,3,78,1,84,30,50,4
,담양군,28,2,32,12,20,0,31,1,30,13,16,1,43,2,44,19,24,1,34,1,36,13,21,2,24,6,19,9,9,1
,곡성군,14,2,16,9,7,0,21,0,22,17,5,0,17,2,17,9,8,0,11,0,12,4,8,0,18,2,16,8,8,0
,구례군,25,4,24,13,9,2,20,0,20,5,15,0,24,1,23,7,16,0,8,1,8,4,3,1,25,2,25,8,17,0
,고흥군,51,4,47,25,21,1,45,4,41,24,15,2,43,2,42,23,17,2,45,2,45,22,23,0,39,2,38,27,11,0
,보성군,36,1,35,16,19,0,23,5,20,9,10,1,20,2,20,8,11,1,26,4,22,6,15,1,33,0,36,18,18,0
,화순군,51,3,51,30,18,3,44,2,42,19,22,1,37,0,38,14,22,2,41,3,40,14,24,2,51,2,51,24,26,1
,장흥군,24,2,22,8,14,0,39,4,39,17,22,0,44,1,43,10,32,1,44,2,42,22,17,3,36,3,35,16,14,5
,강진군,36,0,37,25,10,2,35,2,33,16,15,2,36,1,35,20,14,1,38,5,34,14,20,0,30,0,30,9,17,4
,해남군,47,2,46,27,18,1,39,1,41,23,16,2,47,4,43,20,21,2,38,4,38,19,18,1,47,4,46,16,29,1
,영암군,29,1,28,10,16,2,29,4,26,10,15,1,35,2,35,14,20,1,41,5,38,14,24,0,32,5,28,13,12,3
,무안군,49,3,51,23,28,0,45,8,40,17,23,0,43,3,42,20,22,0,39,2,41,22,15,4,54,2,55,27,24,4
,함평군,20,0,20,11,9,0,19,1,20,11,9,0,22,4,18,8,8,2,22,0,23,9,13,1,22,1,22,9,9,4
,영광군,31,3,28,10,15,3,40,2,38,20,16,2,37,3,36,20,13,3,36,0,37,22,9,6,41,0,41,18,20,3
,장성군,24,2,22,13,6,3,19,2,17,13,4,0,24,2,22,11,11,0,25,3,25,14,11,0,25,5,21,10,10,1
,완도군,46,5,42,20,19,3,34,2,33,15,17,1,26,1,25,9,15,1,38,2,37,18,19,0,22,2,22,9,13,0
,진도군,19,2,18,6,11,1,17,2,15,8,6,1,21,3,19,9,9,1,26,3,23,16,7,0,17,1,16,12,4,0
,신안군,13,3,10,8,2,0,7,1,6,4,2,0,13,3,10,9,1,0,19,3,17,7,9,1,11,3,8,6,2,0
경북,포항시,343,12,354,155,181,18,372,8,379,171,199,9,390,10,395,158,212,25,442,7,456,167,258,31,410,5,427,160,246,21
,경주시,219,10,227,99,120,8,200,11,200,91,107,2,182,6,181,81,92,8,220,8,228,110,103,15,175,7,170,90,72,8
,김천시,122,7,122,58,61,3,96,3,95,49,44,2,72,3,71,33,37,1,85,2,90,48,37,5,80,4,82,52,26,4
,안동시,150,4,152,75,74,3,126,5,127,52,73,2,139,9,140,69,61,10,141,2,142,66,68,8,123,3,125,52,51,22
,구미시,215,10,215,81,119,15,249,9,255,115,132,8,246,7,249,98,138,13,239,5,247,103,135,9,224,10,226,101,112,13
,영주시,84,5,82,47,34,1,87,6,85,57,28,0,74,5,73,42,29,2,59,6,55,33,20,2,55,2,53,33,17,3
,영천시,91,5,86,36,49,1,90,1,90,39,48,3,77,5,74,34,36,4,91,7,89,39,45,5,100,7,94,47,44,3
,문경시,40,3,39,17,20,2,58,2,56,24,29,3,37,0,40,17,17,6,50,1,52,24,24,4,42,2,41,15,24,2
,상주시,59,14,47,27,20,0,60,7,56,31,25,0,52,3,50,23,23,4,68,6,64,40,21,3,58,8,50,28,22,0
,군위군,7,0,7,2,5,0,10,1,9,4,5,0,4,0,5,4,1,0,9,1,9,6,3,0,-,-,-,-,-,-
,의성군,27,2,26,16,10,0,24,5,20,8,12,0,39,4,39,26,12,1,32,0,35,18,17,0,41,7,36,17,19,0
,청송군,13,2,12,6,5,1,19,2,17,10,7,0,12,1,11,7,0,4,20,1,19,10,7,2,25,0,25,13,12,0
,영양군,9,1,8,5,3,0,11,1,11,5,6,0,10,1,9,5,3,1,11,1,10,6,4,0,16,0,16,4,10,2
,영덕군,39,4,36,15,20,1,38,3,35,14,19,2,30,4,32,18,14,0,33,1,32,11,20,1,31,1,30,13,16,1
,청도군,25,3,22,10,12,0,20,1,20,12,8,0,31,1,30,9,19,2,26,2,26,11,15,0,27,0,27,18,8,1
,고령군,22,1,21,11,9,1,28,3,26,11,14,1,19,1,19,12,7,0,23,1,25,11,14,0,16,1,16,10,6,0
